,toxic
1234,0
7529,0
5695,0
1836,1
1022,0
651,0
2729,0
3381,1
3518,1
779,0
295,0
5629,1
5588,0
7632,0
1087,1
72,0
1644,0
4532,0
5814,0
4200,1
5860,1
6855,0
3003,0
6692,0
1772,0
5926,0
6897,0
3638,0
3474,0
3748,1
6999,0
7049,0
6645,1
4644,1
4563,0
7294,0
7799,0
7819,0
2183,0
3702,1
4929,0
987,0
499,1
444,1
2552,0
7195,0
5757,1
7568,1
1278,1
6160,1
7783,0
3308,1
1327,1
6749,1
1380,1
5084,0
1711,1
1014,0
7673,0
963,0
3437,0
1270,0
3443,0
1216,0
44,1
7534,0
3346,1
5075,1
2802,1
2722,0
978,1
4341,1
495,0
1784,0
2776,0
6783,0
7345,1
2919,0
1541,0
2908,1
3589,0
6389,1
4969,1
3667,1
6613,0
5157,0
722,0
6738,0
895,0
4934,0
3826,0
1742,1
4691,0
4398,0
7150,1
737,1
4875,0
1140,1
5520,1
3280,0
7348,1
7665,0
167,0
912,0
4433,0
1292,0
1282,1
1894,1
4178,0
7231,0
5552,0
3264,0
134,1
3113,1
1003,0
5796,0
7772,0
4806,1
3654,0
4012,1
454,1
1534,0
3541,1
6301,0
3143,1
7383,0
613,0
5599,1
7262,0
162,0
4476,1
7107,0
6902,0
5372,0
2878,1
7090,0
2010,1
5199,0
700,1
487,1
794,0
3289,1
7769,0
7430,1
50,0
5837,1
1082,0
5754,1
5694,1
1856,1
6786,1
3542,1
5460,0
2194,0
7170,0
2088,0
7377,1
7739,1
7582,0
1029,1
3618,0
4642,1
4037,0
5210,1
7115,0
2380,0
6221,0
3632,0
1812,1
521,0
4615,1
4606,1
5070,1
3673,0
7196,0
1532,0
4859,0
4805,1
3226,0
541,1
958,0
5288,1
6191,1
6450,1
1284,0
7614,0
5824,1
1653,0
6611,0
3254,1
4496,0
125,0
152,0
7581,0
5701,0
5530,0
2138,0
7221,0
6618,0
5787,0
6404,1
1364,0
4497,0
3484,1
3671,0
1571,1
234,1
4166,0
1855,0
200,1
3053,0
6734,0
7371,1
7465,0
7026,1
3216,1
533,0
156,0
4914,0
3658,0
6228,1
7655,1
528,0
5484,0
6402,0
3698,0
5436,0
4635,1
1983,0
304,1
39,0
3718,1
6802,0
916,0
2609,1
4222,0
4804,1
6763,1
3584,0
7276,0
1749,0
2409,0
5261,0
629,0
2818,0
7431,1
4581,0
4173,0
6118,0
7613,0
7298,0
5979,1
1953,0
7145,0
5739,0
3322,1
2230,0
2589,1
7768,0
7205,1
2831,0
4137,0
3729,0
3743,0
277,0
7085,0
4815,0
6202,0
5874,0
2785,1
5568,0
3127,0
888,0
4918,1
1574,1
5373,1
2197,1
5227,0
7750,0
2044,0
5342,0
5088,0
3179,0
7775,0
5281,0
3488,0
7631,0
5702,0
7715,0
3203,0
2273,1
3570,0
1940,0
4702,0
98,1
6113,0
558,1
1918,0
154,0
1353,0
2484,0
226,1
2892,0
4007,1
5051,0
5735,0
5338,1
2190,1
5707,0
140,1
6243,0
6224,1
394,1
944,0
593,0
42,1
7141,0
4090,0
5833,0
891,1
7055,0
6845,0
1515,1
2071,1
834,1
4681,0
4092,1
5439,0
6664,0
356,0
2491,0
3832,0
4254,1
6977,1
4780,0
229,0
5705,0
6102,0
224,0
3737,1
1832,0
4687,0
3504,0
1370,0
2935,0
4401,0
5098,0
3054,1
642,0
7707,0
3223,0
2887,1
3197,0
4927,0
3814,1
5065,0
4292,0
5167,1
6084,0
938,0
2711,0
5259,0
5957,0
1142,0
1277,0
7766,0
5458,0
543,0
6907,0
38,0
5784,0
6728,0
49,1
2371,0
3892,0
217,0
6403,0
6748,1
7093,0
2163,0
4510,0
1767,0
6456,0
273,1
1255,1
3979,0
3077,1
725,0
4630,1
462,0
4149,1
4087,0
7154,0
6627,1
4837,0
4327,0
693,0
6662,0
2548,0
6959,0
451,0
5930,1
3500,1
144,1
2358,1
5604,1
2554,0
5272,0
5327,1
1923,0
2077,0
5836,1
4394,1
641,0
158,1
4352,0
3961,0
4403,0
311,0
3366,0
6219,0
7496,0
532,0
5312,1
5172,1
3103,1
1091,0
6874,0
147,1
7318,0
233,1
5571,0
2191,0
6263,0
6322,0
1857,1
509,1
6549,0
771,0
6647,0
33,1
4723,1
4363,0
5125,0
2591,1
2646,0
1358,1
979,1
5775,0
5262,1
6590,0
6745,0
5321,0
3934,0
1103,1
2243,0
3382,1
1901,1
5680,0
4713,0
2916,1
4573,0
2034,0
5953,0
3405,1
4371,1
2605,1
188,1
1122,0
176,0
6293,1
548,1
5067,1
4410,0
1591,1
5229,1
244,1
296,1
347,0
684,1
6159,1
4251,0
4803,1
409,0
6527,0
6136,0
6361,1
4021,0
1381,1
6307,1
7074,1
6936,1
7435,0
1524,1
257,0
3355,0
7675,1
2673,1
5091,0
5498,0
6952,0
90,0
4353,1
6656,0
29,0
6384,1
3510,1
1412,0
5253,0
2947,0
3338,1
1085,0
1468,1
4020,0
4133,0
5123,0
1820,0
1400,0
5036,0
1374,0
2876,0
2432,1
202,0
4050,1
3833,0
3290,1
3427,1
4428,0
2005,0
7469,0
4069,0
7080,0
6891,0
2460,0
210,1
3013,1
1365,1
6979,0
3122,0
2546,0
5905,0
4769,0
5000,1
6640,0
5266,0
6094,1
119,0
878,1
3878,0
3030,1
5842,1
5616,0
6218,1
5163,1
1813,1
6823,1
2975,1
7396,1
3799,1
2165,0
519,1
5144,1
6236,0
317,0
5690,0
3101,1
6198,0
572,0
3770,1
3959,0
574,0
2420,0
4366,0
4274,0
7214,1
6134,0
5769,0
4767,1
6591,0
2522,1
1168,1
7656,1
1423,0
214,0
4898,1
2891,0
4811,1
1831,1
6177,1
2439,1
7537,1
852,1
7620,1
1530,1
1456,0
526,0
982,0
7138,1
5652,1
2091,1
4923,0
2779,0
5195,0
2949,1
5455,0
2572,0
313,1
5335,0
467,0
3639,0
2918,1
4105,1
4786,0
4416,0
7018,1
7121,0
6370,1
5547,0
5670,1
4307,1
5307,1
4206,1
294,1
3379,1
4935,0
1862,0
7112,0
1261,0
4886,0
7058,0
5114,0
456,1
1527,0
4867,0
4905,0
5838,1
527,0
2463,1
2827,0
3102,1
1655,0
865,1
2875,0
6803,0
4480,0
2965,0
51,0
692,0
4145,1
1671,0
7334,0
7814,0
7295,0
864,1
1958,0
1975,0
1871,1
6821,0
479,0
7333,0
2150,0
5741,0
4361,1
6569,0
2064,1
5901,0
2268,0
65,1
2952,1
2731,1
6193,0
2235,1
5302,0
5663,0
4364,0
1941,0
1335,0
7273,0
2720,0
378,1
5662,1
6411,0
4185,0
683,1
5877,1
4349,1
5789,0
7454,0
3200,0
2926,0
4750,0
2943,0
1455,1
148,0
6629,1
4807,1
6767,1
2039,1
7434,1
3788,1
2313,0
5474,0
5578,0
4861,0
6392,0
4054,0
6173,0
713,0
2037,0
2279,0
6318,1
4985,0
1956,1
2808,1
6824,0
5082,0
7104,0
4395,1
1978,0
4738,0
3527,0
2647,1
2618,1
2660,0
5579,0
1156,1
6345,0
2375,0
5889,1
989,0
6771,0
2568,0
6720,1
2737,0
5799,0
3446,0
2236,0
2653,0
6535,0
7073,0
4127,0
5362,0
5956,0
7658,1
6861,0
719,0
7563,0
3022,0
5286,0
2583,0
1727,1
3587,1
7361,1
3619,1
5337,1
1834,1
3115,0
7603,1
6827,0
1434,0
2764,1
6138,1
4928,1
2195,0
1703,0
7045,0
2800,1
6901,1
3341,0
2267,1
5326,0
5394,0
1818,1
5983,0
6974,0
7793,1
2755,0
1259,1
7717,1
842,0
5499,0
2123,0
2101,0
1954,0
2244,0
3713,1
3740,1
7398,1
3529,0
773,1
4099,1
4414,0
2066,1
3263,0
5292,0
3930,1
247,0
5955,0
4582,1
4303,0
7261,1
502,0
1399,0
2056,1
4248,1
2679,0
3406,0
6881,0
4600,0
3998,0
2655,0
6976,0
1688,1
170,1
5264,1
4130,0
4522,0
464,0
4170,1
6371,0
5923,1
3124,1
1892,0
7306,0
2468,0
2895,1
980,0
4665,0
2031,1
3016,0
4718,0
2032,1
6108,0
4758,1
1890,0
3601,1
5180,1
31,0
3931,1
1622,1
1143,0
5233,0
318,1
2426,1
418,0
2545,0
5459,0
6334,1
1449,1
3191,1
7681,1
2453,0
7366,1
6844,0
800,1
5650,0
1454,0
2321,0
5534,0
874,0
1625,0
7022,1
6985,1
5646,0
6858,0
3520,0
5466,0
3256,0
1457,0
6353,0
7193,0
5596,0
882,1
2555,0
287,0
2563,0
14,1
1172,0
3436,0
3662,0
1882,1
2872,1
5071,1
4731,0
1907,1
5339,1
1929,0
6822,1
7056,1
138,1
7611,0
2135,0
2173,1
6123,1
1747,0
4430,0
4369,0
1121,0
2007,1
4906,0
1776,0
5560,0
4008,1
5866,0
5752,0
4561,0
422,1
6847,1
4484,0
6612,0
6507,0
1947,0
3175,0
733,0
3715,0
6648,0
1070,0
559,0
2763,0
4204,1
4279,0
6256,1
6116,0
6609,0
3732,0
2224,0
4485,1
5532,1
5220,0
3943,0
5601,0
2125,0
393,1
2850,0
3537,0
3757,1
6227,1
3643,0
5368,0
6150,0
1066,1
831,0
7463,0
578,0
5649,1
2176,0
6599,0
4963,1
971,0
194,0
7623,1
3072,1
1220,0
3165,1
6199,1
5939,1
5598,0
2826,0
2349,0
7316,0
3076,1
5328,0
3045,1
6706,1
5156,1
3954,0
768,0
7110,0
5429,1
7543,0
4547,0
5570,0
1462,0
1344,1
3265,1
159,1
994,0
5127,1
3236,0
1237,1
7144,1
3084,0
5952,0
3704,1
5800,1
2179,0
1294,0
2462,0
4038,0
6794,0
635,1
6604,0
6230,0
7791,1
1034,0
7597,1
290,0
2614,0
227,1
4265,1
5423,0
4602,1
2218,1
1706,0
4772,0
634,1
2233,0
704,0
6405,0
5230,1
3995,0
6704,0
7349,1
4302,0
191,0
6589,1
1161,1
4992,0
1035,0
530,0
6005,0
420,1
5407,0
1743,0
1485,0
1246,1
7060,0
291,1
1060,0
7443,0
6416,0
3787,1
1235,1
6894,0
3543,0
2280,0
5443,0
1132,1
2807,1
5941,1
7615,0
48,1
4829,0
2504,0
4893,1
5441,0
1667,1
6409,0
6373,0
4275,0
6808,1
2607,1
3062,0
4345,1
3795,0
840,0
2096,1
4776,1
667,0
5456,0
1643,1
3070,1
5960,0
2295,1
6122,0
2820,0
1283,1
4142,0
133,1
2253,1
7174,1
1426,0
5863,0
6583,1
7486,1
2604,0
124,0
4618,0
3727,0
3837,1
4408,1
6286,1
3344,0
4919,1
3710,0
4583,1
6058,0
4880,1
6246,1
2332,0
976,1
3384,0
4131,1
4432,1
6555,0
2529,0
7578,0
4139,1
1996,0
7200,0
1844,0
2587,0
5193,1
1051,0
6670,0
6707,1
3928,0
5457,1
6983,0
475,0
1652,1
4393,0
3413,0
5197,0
6578,1
3990,0
2894,1
1516,1
7756,1
7698,0
2557,0
2503,0
7308,0
7477,0
7274,1
3620,1
6480,0
143,0
1984,0
6245,1
2553,1
3705,0
4850,0
3306,1
4308,0
4768,1
3985,0
4089,0
1838,0
6448,0
875,1
7091,1
2068,0
6509,0
2456,1
2633,0
2540,1
3607,0
1579,0
6909,0
5442,1
1816,1
5383,0
7098,0
4652,0
4788,1
6297,1
2042,0
751,1
6466,1
1008,0
2404,0
472,0
3572,0
6247,0
1915,0
4778,0
5618,1
7397,0
3590,0
4314,1
439,0
263,0
1586,1
